name,lat,lng,attr,distance(km),cool_time(h),cool_time(hms),reduction(hms)
函館,41.773709,140.726413,eco,152.834,18.77294,18時間46分23秒,2時間43分37秒
函館駅前,41.77264,140.727997,heat,152.903,18.77316,18時間46分23秒,2時間43分37秒
五稜郭,41.803557,140.733539,eco,149.508,18.76206,18時間45分43秒,2時間44分17秒
桔梗,41.846457,140.722952,heat,145.329,18.74839,18時間44分54秒,2時間45分6秒
大中山,41.864641,140.71358,heat,143.715,18.74311,18時間44分35秒,2時間45分25秒
七飯,41.886971,140.688556,heat,142.172,18.73807,18時間44分17秒,2時間45分43秒
新函館北斗,41.9054,140.646525,eco,141.647,18.73635,18時間44分11秒,2時間45分49秒
仁山,41.930011,140.635183,unknown,139.537,18.72945,18時間43分46秒,2時間46分14秒
大沼,41.971954,140.669347,heat,134.121,18.71173,18時間42分42秒,2時間47分18秒
大沼公園,41.980958,140.669758,cool,133.196,18.70871,18時間42分31秒,2時間47分29秒
赤井川,42.003267,140.642678,cool,131.904,18.70448,18時間42分16秒,2時間47分44秒
駒ヶ岳,42.038809,140.610476,cool,129.572,18.69685,18時間41分49秒,2時間48分11秒
東山(北海道),42.06172,140.605222,unknown,127.526,18.69016,18時間41分25秒,2時間48分35秒
姫川(北海道),42.081312,140.591632,unknown,126.158,18.68568,18時間41分8秒,2時間48分52秒
池田園,41.990692,140.700333,unknown,131.174,18.70209,18時間42分8秒,2時間47分52秒
流山温泉,42.003483,140.716358,unknown,129.340,18.69609,18時間41分46秒,2時間48分14秒
銚子口,42.015471,140.720656,unknown,127.976,18.69163,18時間41分30秒,2時間48分30秒
鹿部,42.06439,140.771393,cool,121.326,18.66988,18時間40分12秒,2時間49分48秒
渡島沼尻,42.10706,140.747596,cool,117.771,18.65825,18時間39分30秒,2時間50分30秒
渡島砂原,42.12164,140.689451,cool,118.397,18.66030,18時間39分37秒,2時間50分23秒
掛澗,42.119205,140.64598,eco,120.304,18.66654,18時間40分0秒,2時間50分0秒
尾白内,42.111232,140.613449,eco,122.376,18.67331,18時間40分24秒,2時間49分36秒
東森,42.106823,140.59353,eco,123.613,18.67736,18時間40分38秒,2時間49分22秒
森(北海道),42.108917,140.573846,eco,124.228,18.67937,18時間40分46秒,2時間49分14秒
桂川(北海道),42.1156,140.542788,unknown,124.916,18.68162,18時間40分54秒,2時間49分6秒
石谷,42.135519,140.506525,unknown,124.657,18.68077,18時間40分51秒,2時間49分9秒
本石倉,42.159668,140.471957,unknown,124.042,18.67876,18時間40分44秒,2時間49分16秒
石倉,42.17285,140.458436,eco,123.497,18.67698,18時間40分37秒,2時間49分23秒
落部,42.187617,140.420755,eco,124.038,18.67875,18時間40分43秒,2時間49分17秒
野田生,42.217104,140.37586,eco,123.787,18.67793,18時間40分41秒,2時間49分19秒
山越,42.231172,140.326593,eco,125.246,18.68270,18時間40分58秒,2時間49分2秒
八雲,42.253391,140.273342,eco,126.406,18.68650,18時間41分11秒,2時間48分49秒
鷲ノ巣,42.278389,140.269919,unknown,124.613,18.68063,18時間40分50秒,2時間49分10秒
山崎(北海道),42.314635,140.2746,eco,121.509,18.67048,18時間40分14秒,2時間49分46秒
黒岩,42.368296,140.288173,eco,116.616,18.65447,18時間39分16秒,2時間50分44秒
北豊津,42.400969,140.297868,unknown,113.604,18.64462,18時間38分41秒,2時間51分19秒
国縫,42.439319,140.320885,eco,109.393,18.63085,18時間37分51秒,2時間52分9秒
中ノ沢,42.477928,140.346077,unknown,105.065,18.61670,18時間37分0秒,2時間53分0秒
