name,lat,lng,attr,distance(km),cool_time(h),cool_time(hms),reduction(hms)
函館,41.773709,140.726413,eco,152.834,11.46037,11時間27分37秒,7時間2分23秒
函館駅前,41.77264,140.727997,heat,152.903,11.46095,11時間27分39秒,7時間2分21秒
五稜郭,41.803557,140.733539,eco,149.508,11.43229,11時間25分56秒,7時間4分4秒
桔梗,41.846457,140.722952,heat,145.329,11.39701,11時間23分49秒,7時間6分11秒
大中山,41.864641,140.71358,heat,143.715,11.38339,11時間23分0秒,7時間7分0秒
七飯,41.886971,140.688556,heat,142.172,11.37036,11時間22分13秒,7時間7分47秒
新函館北斗,41.9054,140.646525,eco,141.647,11.36593,11時間21分57秒,7時間8分3秒
仁山,41.930011,140.635183,unknown,139.537,11.34811,11時間20分53秒,7時間9分7秒
大沼,41.971954,140.669347,heat,134.121,11.30238,11時間18分9秒,7時間11分51秒
大沼公園,41.980958,140.669758,cool,133.196,11.29457,11時間17分40秒,7時間12分20秒
赤井川,42.003267,140.642678,cool,131.904,11.28366,11時間17分1秒,7時間12分59秒
駒ヶ岳,42.038809,140.610476,cool,129.572,11.26397,11時間15分50秒,7時間14分10秒
東山(北海道),42.06172,140.605222,unknown,127.526,11.24669,11時間14分48秒,7時間15分12秒
姫川(北海道),42.081312,140.591632,unknown,126.158,11.23514,11時間14分6秒,7時間15分54秒
池田園,41.990692,140.700333,unknown,131.174,11.27749,11時間16分39秒,7時間13分21秒
流山温泉,42.003483,140.716358,unknown,129.340,11.26201,11時間15分43秒,7時間14分17秒
銚子口,42.015471,140.720656,unknown,127.976,11.25049,11時間15分2秒,7時間14分58秒
鹿部,42.06439,140.771393,cool,121.326,11.19434,11時間11分40秒,7時間18分20秒
渡島沼尻,42.10706,140.747596,cool,117.771,11.16432,11時間9分52秒,7時間20分8秒
渡島砂原,42.12164,140.689451,cool,118.397,11.16961,11時間10分11秒,7時間19分49秒
掛澗,42.119205,140.64598,eco,120.304,11.18571,11時間11分9秒,7時間18分51秒
尾白内,42.111232,140.613449,eco,122.376,11.20320,11時間12分12秒,7時間17分48秒
東森,42.106823,140.59353,eco,123.613,11.21365,11時間12分49秒,7時間17分11秒
森(北海道),42.108917,140.573846,eco,124.228,11.21884,11時間13分8秒,7時間16分52秒
桂川(北海道),42.1156,140.542788,unknown,124.916,11.22465,11時間13分29秒,7時間16分31秒
石谷,42.135519,140.506525,unknown,124.657,11.22246,11時間13分21秒,7時間16分39秒
本石倉,42.159668,140.471957,unknown,124.042,11.21727,11時間13分2秒,7時間16分58秒
石倉,42.17285,140.458436,eco,123.497,11.21267,11時間12分46秒,7時間17分14秒
落部,42.187617,140.420755,eco,124.038,11.21724,11時間13分2秒,7時間16分58秒
野田生,42.217104,140.37586,eco,123.787,11.21512,11時間12分54秒,7時間17分6秒
山越,42.231172,140.326593,eco,125.246,11.22744,11時間13分39秒,7時間16分21秒
八雲,42.253391,140.273342,eco,126.406,11.23723,11時間14分14秒,7時間15分46秒
鷲ノ巣,42.278389,140.269919,unknown,124.613,11.22209,11時間13分20秒,7時間16分40秒
山崎(北海道),42.314635,140.2746,eco,121.509,11.19588,11時間11分45秒,7時間18分15秒
黒岩,42.368296,140.288173,eco,116.616,11.15457,11時間9分16秒,7時間20分44秒
北豊津,42.400969,140.297868,unknown,113.604,11.12914,11時間7分45秒,7時間22分15秒
国縫,42.439319,140.320885,eco,109.393,11.09360,11時間5分37秒,7時間24分23秒
中ノ沢,42.477928,140.346077,unknown,105.065,11.05707,11時間3分25秒,7時間26分35秒
長万部,42.512477,140.37507,eco,100.810,11.02116,11時間1分16秒,7時間28分44秒
二股,42.575869,140.320821,unknown,100.288,11.01675,11時間1分0秒,7時間29分0秒
蕨岱,42.626353,140.313353,unknown,97.832,10.99603,10時間59分46秒,7時間30分14秒
黒松内,42.669608,140.305704,eco,96.031,10.98084,10時間58分51秒,7時間31分9秒
熱郛,42.675653,140.375084,eco,90.725,10.93609,10時間56分10秒,7時間33分50秒
